####religion relocalisations
hindu_DESC;Vimanism is not a single religion so much as a blanket term for the successor beliefs of ancient astronaut theorists as recorded in the manuscripts. The existence of many different sects within Vimanism - as well as millennia of relatively peaceful co-existence with Ahimsimism and Yogism - has made the Vimana faith remarkably tolerant and pluralistic toward all Eastern religions. Still, it is the most warlike of the three.;L'hindouisme n'est pas une religion unique mais plutôt un terme générique regroupant les religions descendant du polythéisme ancestral en Inde tel que consigné dans les Védas. L'existence de nombreuses sectes au sein de l'hindouisme, ainsi que des millénaires de coexistence relativement pacifique avec le jaïnisme et le bouddhisme, a donné à l'hindouisme son caractère remarquablement tolérant et pluraliste envers toutes les religions indiennes. Cependant, il s'agit de la religion la plus belliqueuse des trois.;Der Hinduismus ist keine einzelne Religion, sondern ein Überbegriff für die Nachfolgeglauben des urtümlichen indischen Polytheismus, wie in der Veda überliefert. Die Existenz vieler verschiedener Sekten im Hinduismus - und Jahrtausende vergleichsweiser friedlicher Koexistenz mit Jainismus und Buddhismus - führten zu einer bemerkenswerten Toleranz gegenüber anderen indischen Religionen. Trotzdem ist dies die kriegerischste der drei Glaubensrichtungen.;;El hinduismo no es una religión sino un amplio término usado para todas las religiones que suceden al politeísmo Indio recogido en los Vedas. La existencia de tantas sectas - así como los milenios de coexistencia más o menos pacífica con el Jainismo y el Budismo - han hecho a la fe Hindú notoriamente tolerante y plural con todas las religiones Indias. Aún así, es la más beligerante de las tres.;;;;;;;;;x
buddhist;Yogi;Yogi;Yogi;;Yogi;;;;;;;;;x
jain;Ahimsa;Ahimsa;Ahimsa;;Ahimsa;;;;;;;;;x
GOD_SHIVA;Shiva;Shiva;Schiva;;Shiva;;;;;;;;;x
GOD_THE_SUPREME;the Supreme;le Suprême;den Mächtigen;;el Supremo;;;;;;;;;x
THE_VINAYAKAS;the Manuscripts;les Vinâyakas;Die Vinyakas;;los Vinayakas;;;;;;;;;x
THE_MAHABHARATA;the Mahabharata;Mahabharata;Das Mahabharata;;el Mahabharata;;;;;;;;;x
PUJARI;Pujari;pujari;Pujari;;Pujari;;;;;;;;;x
GOD_THE_BUDDHA;the Buddha;le Bouddha;Buddha;;el Buda;;;;;;;;;x
GOD_THE_ARHAT;the Arhat;l'Arhat;Arhat;;el Arhat;;;;;;;;;x
GOD_THE_PERFECTED_ONES;the Perfected Ones;les Parfaits;die Vollendeten;;los Perfeccionados;;;;;;;;;x
MARA;Mara;Mara;Mara;;Mara;;;;;;;;;x
THE_BUDDHACAVANA;the Buddhavacana;Buddhavacana;Das Buddhavacana;;el Buddhavamsa;;;;;;;;;x
BHIKKHU;bhikkhu;bhikkhu;Bhikkhu;;bhikkhu;;;;;;;;;x
GOD_THE_TIRTHANKARAS;the Tirthanankaras;Tîrthankaras;die Tirthanankaras;;los Tirthankaras;;;;;;;;;x
GOD_RISHABH;Rishabh;Rishabhanatha;Rishabh;;Rishabha;;;;;;;;;x
GOD_AJINATH;Ajinath;Ajitnath;Ajinath;;Adinath;;;;;;;;;x
GOD_SAMBHAVANATH;Sambhavanath;Sambhavanath;Sambhavanath;;Sambhavanath;;;;;;;;;x
THE_PUNISHERS;the Punishers;les Punisseurs;Die Bestrafer;;los Castigadores;;;;;;;;;x
NIRGRANTHA;nirgrantha;nirgrantha;Nirgrantha;;nirgrantha;;;;;;;;;x
brahmin;Brahmin;Brahmane;Brahmane;;Brahmán;;;;;;;;;x
kshatriya;Kshatriya;Kshatriya;Kshatriya;;Chatria;;;;;;;;;x
vaishya;Vaishya;Vaishya;Vaishya;;Vaisia;;;;;;;;;x
shaivist_hindu;Shaivist;Shivaïte;Shaivistisch;;Shivaísmo;;;;;;;;;x
vaishnavist_hindu;Vaishnavist;Vishnouiste;Vaishnavistisch;;Visnuista;;;;;;;;;x
shaktist_hindu;Shaktist;Shaktiste;Shaktistisch;;Shaktismo;;;;;;;;;x
smartist_hindu;Smartist;Smartiste;Smarthistisch;;Advaita;;;;;;;;;x

taoist;Spacer;Spacer;Spacer;;Spacer;;;;;;;;;x
taoist_DESC;A fleet of ships from a nearby star system has arrived to investigate in the wake of the disaster. Because light travel is impossible it took this intersystem ship 1066 years to reach its destination in the Solar System.\n Due to unforseen circumstances, the crew is less prepared than would be viable to complete their mission.  They must trade their advanced tech and knowledge, seen as magic by the majority of Martians, for food and resources in order to survive.;;;;;;;;;;;;x

bon;Mother of Waters;Mother of Waters;Mother of Waters;;Mother of Waters;;;;;;;;;x
bon_DESC;Starting off as an Hesperian traditional rain dance reciting the battle between the Seas and the Storm Demon, this once Ahimsa-Yogi inspired piece has fully become a religion of its own. With the belief that Moni Mekhala is the guardian of the seas which her people depend on, believers have an expansive sea-faring and aquatic culture.;;;;;;;;;;;;;x
bon_reformed;Mother of Waters;Mother of Waters;Mother of Waters;;Mother of Waters;;;;;;;;;x
bon_reformed_DESC;Starting off as an Hesperian traditional rain dance reciting the battle between the seas and the Storm Demon, this once Ahimsa-Yogi inspired piece has fully become a religion of its own. With the belief that Moni Mekhala is the guardian of the seas which her people depend on, believers have an expansive sea-faring and aquatic culture.;;;;;;;;;;;;;x
GOD_SANGPO_BUMTRI;Moni Mekhala;;;;;;;;;;;;;x
GOD_SHENLA_OKAR;Vorachhun;;;;;;;;;;;;;x
#GOD_YESHE_WALMO;Ream Eyso;;;;;;;;;;;;;x
GOD_THE_EVIL_ONES;Ream Eyso;;;;;;;;;;;;;x
MDODUS;Robam Moni Mekhala;;;;;;;;;;;;;x
LAMA;Preahsang;;;;;;;;;;;;;x

aztec;Escudo Solar;Escudo Solar;Escudo Solar;;Escudo Solar;;;;;;;;;x
aztec_DESC;Escudo Solarists believe the ancient king Pakal had saved the Earth from the Doom with his sun shield vessel. Humanity strayed from this sacred knowledge and neglected to stop the Doom the second time. They must be ready to stop it the third.;Escudo Solar;Escudo Solar;;Escudo Solar;;;;;;;;;x

west_african_pagan;Animism;Animism;Animism;;Animism;;;;;;;;;x
west_african_pagan_DESC;Animism includes many of the diverse pagan beliefs of the tribes of the Solis Planum. Ancestor worship and totemistic shamanism dominate, but there also various pantheons of gods.;La religion africaine est un terme qui recouvre les diverses croyances païennes des tribus de l'Afrique subsaharienne. Le culte des ancêtres, l'animisme et le chamanisme totémique y dominent, mais on y trouve aussi divers panthéons.;Die Westafrikanische Religion ist ein Oberbegriff für die vielfältigen, heidnischen Glaubensvorstellungen der westafrikanischen Völker südlich der Sahara. Vorfahrenverehrung, Animismus und Schamanismus sind vorherrschend, aber es gibt auch mehrere Götterpantheone.;;La Religión Africana Occidental es un término general para las diversas creencias paganas de las tribus de África Subsahariana Occidental. El culto a los antepasados, el animismo y el chamanismo totémico dominan, pero también diversos panteones de dioses.;;;;;;;;;x

norse_pagan_reformed;Seaborne;Seaborne;Seaborne;;Seaborne;;;;;;;;;x
norse_pagan_reformed_DESC;When the once vast lands of Tempe Terra sank into Oceanus Borealis, leaving only the peninsula seen today, the Seaborne rose from the waters. This tragedy eventually developed into an advantage to the Seaborne, as they mastered the oceans and rivers to take what was needed.;;;;;;;;;;;;;x
tengri_pagan_reformed;Kemetic;Kemetic;Kemetic;;Kemetic;;;;;;;;;x
tengri_pagan_reformed_DESC;Believes in the gods from above, worshipping both Spacer and Terraformed tech, but not the Spacers and Terraformed themselves. They hope that by gaining favor with these technologies they will gain access to the tree filled with untouched moons to enjoy the afterlife with the gods above the sky, and that they have to construct their tombs as close to the heavens and as preserved as possible.;;;;;;;;;;;;;x
baltic_pagan_reformed;Romuva;romuvienne;Romuvaisch;;Romuvita;;;;;;;;;x
baltic_pagan_reformed_DESC;Romuva;romuvienne;Romuvaisch;;Romuvita;;;;;;;;;x
finnish_pagan_reformed;Aiti Marsilainen;Äiti Marsilainen;Äiti Marsilainen;;Äiti Marsilainen;;;;;;;;;x
finnish_pagan_reformed_DESC;Aiti Marsilainen paganism is diverse, varying a lot between tribes and regions. It is shamanistic and animist, revering a multitude of gods, including Ukko/Perkele, Kuu and, in the east, Mastor-Ava, goddess of the Earth.;Le paganisme finnois varie beaucoup selon la tribu ou la région. Il est empreint de chamanisme et d'animisme et on y vénère de multiples dieux, dont Ukko (aussi appelé Perkele), Kuu et, dans l'est, Mastor-Ava, déesse de la terre.;Das Finnisches Heidentum ist vielfältig, mit großen Unterschieden zwischen Stämmen und Regionen. Es ist schamanisch und animistisch und bezieht sich auf eine Vielzahl von Göttern, einschließlich Ukko/Perkele, Kuu und im Osten Mastor-Ava, Göttin der Erde.;;El paganismo Finlandés es diverso, variando mucho entre las tribus y las regiones. Es chamánico y animista, reverencia a una multitud de dioses, incluyendo a Ukko/Perkele, Kuu y, en el este, a Mastor-Ava, diosa de la Tierra.;;;;;;;;;x


hellenic_pagan_reformed;Olympic;hellénique;Hellenisch;;Helenística;;;;;;;;;x
hellenic_pagan_reformedDESC;The Olympic religion is polytheistic, with a pantheon of twelve major gods including Jupiter, Mars, Mercury, Venus, Minerva and Vesta. It originated in ancient Post-Disaster Mars with the conquests of Xander the Great and the Olympian Empire, it would go on to become the dominant religion in the western Tharsis Rise until the rise of Singularity and Solarianism.;La religion hellénique est polythéiste, avec un panthéon de douze dieux majeurs dont Jupiter, Mars, Mercure, Venus, Minerve et Vesta. Elle puise ses origines dans la Grèce antique et, grâce aux conquêtes d'Alexandre le Grand et l'Empire romain, elle a pu devenir la religion dominante en Méditerrannée jusqu'à l'avènement du Christianisme.;Die hellenische Religion ist polytheistisch mit einem Pantheon von zwölf Hauptgöttern, zu welchem Jupiter, Mars, Merkur, Venus, Minerva und Vesta gehören. Sie entstammt dem alten Griechenland und wurde durch die Eroberungen Alexander des Großen und des Römischen Reiches zur Hauptreligion im Mittelmeerraum, bis zum Aufkommen des Christentums.;;La religión helenística es politeista, con un panteón de doce Dioses mayores incluyendo Júpiter, Marte, Mercurio, Venus, Minerva y Vesta. Se originó en la antigua Grecia y, con las conquistas de Alejandro Magno y el Imperio Romano, se convirtió en la religión predominante en el Mediterráneo hasta el auge del Cristianismo.;;;;;;;;;x

west_african_pagan_reformed;Animism;Animism;Animism;;Animism;;;;;;;;;x
west_african_pagan_reformed_DESC;Animism includes many of the diverse pagan beliefs of the tribes of the Solis Planum. Ancestor worship and totemistic shamanism dominate, but there also various pantheons of gods.;La religion africaine est un terme qui recouvre les diverses croyances païennes des tribus de l'Afrique subsaharienne. Le culte des ancêtres, l'animisme et le chamanisme totémique y dominent, mais on y trouve aussi divers panthéons.;Die Westafrikanische Religion ist ein Oberbegriff für die vielfältigen, heidnischen Glaubensvorstellungen der westafrikanischen Völker südlich der Sahara. Vorfahrenverehrung, Animismus und Schamanismus sind vorherrschend, aber es gibt auch mehrere Götterpantheone.;;La Religión Africana Occidental es un término general para las diversas creencias paganas de las tribus de África Subsahariana Occidental. El culto a los antepasados, el animismo y el chamanismo totémico dominan, pero también diversos panteones de dioses.;;;;;;;;;x
